regioncode,folder,filename,path
4221300,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4221400,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4230700,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4230800,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4232100,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4232200,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4232300,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4238300,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4239100,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4241100,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
43,hukenyohoukutou,43_kumamoto_forecast.geojson,GAS\hukenyohoukutou\43_kumamoto_forecast.geojson
430011,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430011,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430012,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430012,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430013,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430013,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430014,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430014,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430015,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430015,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430020,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430020,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430031,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430031,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430032,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430032,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
430040,1saibun,43_kumamoto_area.geojson,GAS\1saibun\43_kumamoto_area.geojson
430040,sikutyousonnwomatometatiikitou,43_kumamoto_region.geojson,GAS\sikutyousonnwomatometatiikitou\43_kumamoto_region.geojson
4310000,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4320200,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4320300,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4320400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4320500,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4320600,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4320800,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321000,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321100,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321200,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321300,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321500,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4321600,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4334800,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4336400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
